RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.67673743E-07   6.81715483E-06   5.92499589E-07   1.26990949E-06   1.72615319E-06   9.32327225E-07   3.66295339E-04   1.99408398E+01   1.37616014E+00   1.69353411E-02   1.05146281E-01   1.99300251E+01   1.38636446E+00   1.96031611E-02   1.05198592E-01   1.67622888E+00   2.30000000E+06   1.95534458E+01   1.67622006E+00   2.30000000E+06   1.95499840E+01 
0 10 1.68031875E-07   4.63991910E-06   5.95961865E-07   6.83302744E-07   6.38043730E-07   9.58531921E-09   4.09375752E-06   1.98247681E+01   1.33429360E+00   7.70565346E-02   1.05824977E-01   1.98240509E+01   1.33546114E+00   7.23775402E-02   1.05785079E-01   1.67565882E+00   2.30000000E+06   1.93795967E+01   1.67563426E+00   2.30000000E+06   1.93735218E+01 
0 20 7.39918988E-08   3.00761894E-06   4.64410817E-07   4.48430512E-07   3.06919702E-07   8.05881406E-09   3.43314969E-06   1.98445702E+01   1.33261597E+00   1.09843470E-01   1.05865762E-01   1.98626785E+01   1.34633076E+00   9.77709070E-02   1.05707482E-01   1.67555857E+00   2.30000000E+06   1.93552628E+01   1.67555094E+00   2.30000000E+06   1.93534832E+01 
0 30 5.50057919E-08   2.23727193E-06   3.44997687E-07   3.41413681E-07   2.19458030E-07   6.99952807E-09   3.02535000E-06   1.97613239E+01   1.33936632E+00   1.24441102E-01   1.06439419E-01   1.97956028E+01   1.35405481E+00   1.17217563E-01   1.06202193E-01   1.67573392E+00   2.30000000E+06   1.92901878E+01   1.67573643E+00   2.30000000E+06   1.92896042E+01 
0 40 4.00299349E-08   1.86187037E-06   2.86544577E-07   2.85940160E-07   1.65242710E-07   6.20596419E-09   2.66947404E-06   1.97217102E+01   1.35194361E+00   1.26774043E-01   1.06768809E-01   1.97501869E+01   1.36047125E+00   1.17191277E-01   1.06569245E-01   1.67589760E+00   2.30000000E+06   1.92504139E+01   1.67588234E+00   2.30000000E+06   1.92542953E+01 
0 50 2.91570359E-08   1.60442369E-06   2.36979801E-07   2.34079053E-07   1.26496644E-07   5.55810242E-09   2.37328686E-06   1.96893196E+01   1.35321009E+00   9.70157906E-02   1.07055038E-01   1.97152157E+01   1.36304665E+00   8.68525356E-02   1.06871217E-01   1.67601550E+00   2.30000000E+06   1.92192535E+01   1.67597473E+00   2.30000000E+06   1.92303123E+01 
0 60 2.53847166E-08   1.33416188E-06   1.94387425E-07   1.89283384E-07   1.02940618E-07   5.00932273E-09   2.13965745E-06   1.96552505E+01   1.36027825E+00   7.90751874E-02   1.07323214E-01   1.96836147E+01   1.36337888E+00   7.64710382E-02   1.07130751E-01   1.67610180E+00   2.30000000E+06   1.91947174E+01   1.67604876E+00   2.30000000E+06   1.92099819E+01 
0 70 2.07677164E-08   1.15169291E-06   1.59059425E-07   1.56977094E-07   8.22920470E-08   4.53873605E-09   1.94134918E-06   1.96344204E+01   1.36273050E+00   7.45973065E-02   1.07503049E-01   1.96643009E+01   1.36511505E+00   8.25229511E-02   1.07306272E-01   1.67615211E+00   2.30000000E+06   1.91796474E+01   1.67608106E+00   2.30000000E+06   1.92007923E+01 
0 80 1.66269629E-08   1.03775221E-06   1.35059935E-07   1.30957474E-07   6.39222577E-08   4.13834256E-09   1.76658989E-06   1.96265717E+01   1.36245537E+00   7.93950111E-02   1.07597254E-01   1.96573162E+01   1.36578858E+00   9.24237669E-02   1.07401460E-01   1.67616999E+00   2.30000000E+06   1.91740875E+01   1.67608702E+00   2.30000000E+06   1.91990566E+01 
0 90 1.41170888E-08   9.50092158E-07   1.18854942E-07   1.07384714E-07   5.15748440E-08   3.79487641E-09   1.61338460E-06   1.96193714E+01   1.36199713E+00   8.55292007E-02   1.07675649E-01   1.96511860E+01   1.36279094E+00   9.80515555E-02   1.07481979E-01   1.67618859E+00   2.30000000E+06   1.91682453E+01   1.67609584E+00   2.30000000E+06   1.91964626E+01 
