V_Magnitude,arc_length
9.95185,0
9.95185,0.300003
9.95185,0.600006
9.95185,0.899994
9.95185,1.2
9.95185,1.5
9.95185,1.8
9.95185,2.10001
9.95185,2.39999
9.95185,2.7
9.95185,3
9.95185,3.3
9.95185,3.60001
9.95185,3.89999
9.95185,4.2
9.95185,4.5
9.95185,4.8
9.95185,5.10001
9.95185,5.39999
9.95185,5.7
9.95185,6
9.93455,6.3
9.93455,6.60001
9.93455,6.89999
9.93455,7.2
9.93455,7.5
9.93455,7.8
9.93455,8.10001
9.93455,8.39999
9.93455,8.7
9.93455,9
9.93455,9.3
9.93455,9.60001
9.93455,9.89999
9.93455,10.2
9.93455,10.5
9.93455,10.8
9.93455,11.1
9.93455,11.4
9.93455,11.7
9.93455,12
9.93455,12.3
9.91261,12.6
9.91261,12.9
9.91261,13.2
9.91261,13.5
9.91261,13.8
9.91261,14.1
9.91261,14.4
9.91261,14.7
9.91261,15
9.91261,15.3
9.91261,15.6
9.91261,15.9
9.91261,16.2
9.91261,16.5
9.91261,16.8
9.91261,17.1
9.91261,17.4
9.91261,17.7
9.91261,18
9.91261,18.3
9.91261,18.6
9.88496,18.9
9.88496,19.2
9.88496,19.5
9.88496,19.8
9.88496,20.1
9.88496,20.4
9.88496,20.7
9.88496,21
9.88496,21.3
9.88496,21.6
9.88496,21.9
9.88496,22.2
9.88496,22.5
9.88496,22.8
9.88496,23.1
9.88496,23.4
9.88496,23.7
9.88496,24
9.88496,24.3
9.88496,24.6
9.88496,24.9
9.85049,25.2
9.85049,25.5
9.85049,25.8
9.85049,26.1
9.85049,26.4
9.85049,26.7
9.85049,27
9.85049,27.3
9.85049,27.6
9.85049,27.9
9.85049,28.2
9.85049,28.5
9.85049,28.8
9.85049,29.1
9.85049,29.4
9.85049,29.7
9.85049,30
9.85049,30.3
9.85049,30.6
9.85049,30.9
9.85049,31.2
9.80822,31.5
9.80822,31.8
9.80822,32.1
9.80822,32.4
9.80822,32.7
9.80822,33
9.80822,33.3
9.80822,33.6
9.80822,33.9
9.80822,34.2
9.80822,34.5
9.80822,34.8
9.80822,35.1
9.80822,35.4
9.80822,35.7
9.80822,36
9.80822,36.3
9.80822,36.6
9.80822,36.9
9.80822,37.2
9.75713,37.5
9.75713,37.8
9.75713,38.1
9.75713,38.4
9.75713,38.7
9.75713,39
9.75713,39.3
9.75713,39.6
9.75713,39.9
9.75713,40.2
9.75713,40.5
9.75713,40.8
9.75713,41.1
9.75713,41.4
9.75713,41.7
9.75713,42
9.75713,42.3
9.75713,42.6
9.75713,42.9
9.75713,43.2
9.75713,43.5
9.69628,43.8
9.69628,44.1
9.69628,44.4
9.69628,44.7
9.69628,45
9.69628,45.3
9.69628,45.6
9.69628,45.9
9.69628,46.2
9.69628,46.5
9.69628,46.8
9.69628,47.1
9.69628,47.4
9.69628,47.7
9.69628,48
9.69628,48.3
9.69628,48.6
9.69628,48.9
9.69628,49.2
9.69628,49.5
9.69628,49.8
9.62512,50.1
9.62512,50.4
9.62512,50.7
9.62512,51
9.62512,51.3
9.62512,51.6
9.62512,51.9
9.62512,52.2
9.62512,52.5
9.62512,52.8
9.62512,53.1
9.62512,53.4
9.62512,53.7
9.62512,54
9.62512,54.3
9.62512,54.6
9.62512,54.9
9.62512,55.2
9.62512,55.5
9.62512,55.8
9.62512,56.1
