X_coord,Y_coord,Ref_Wind,Num_Turb,Sim_ID,Turbine,Wind_Direction,X_rotated,Y_rotated
0.0,0.0,6.11281347,80,hornsrev_254_8,T1,-16,0.0,0.0
59.0,-558.0,6.11239052,80,hornsrev_254_8,T2,-16,-97.09120448552471,-552.6466303267848
118.0,-1116.0,6.11154413,80,hornsrev_254_8,T3,-16,-194.18240897104943,-1105.2932606535696
177.0,-1674.0,6.10390997,80,hornsrev_254_8,T4,-16,-291.27361345657414,-1657.939890980355
235.0,-2231.0,6.10669231,80,hornsrev_254_8,T5,-16,-389.0504422822202,-2209.3496222553845
294.0,-2789.0,6.11685038,80,hornsrev_254_8,T6,-16,-486.141646767745,-2761.9962525821693
353.0,-3347.0,6.08842564,80,hornsrev_254_8,T7,-16,-583.2328512532696,-3314.642882908954
412.0,-3904.0,6.09462309,80,hornsrev_254_8,T8,-16,-680.0484183829774,-3866.328251539801
560.0,0.0,6.11240339,80,hornsrev_254_8,T11,-16,538.3065497254586,-154.35691925751954
619.0,-558.0,6.11401939,80,hornsrev_254_8,T12,-16,441.21534523993387,-707.0035495843044
678.0,-1116.0,6.11321306,80,hornsrev_254_8,T13,-16,344.1241407544091,-1259.6501799110893
737.0,-1674.0,6.10527945,80,hornsrev_254_8,T14,-16,247.03293626888444,-1812.296810237874
796.0,-2231.0,6.10110998,80,hornsrev_254_8,T15,-16,150.21736913917664,-2363.982178868721
855.0,-2789.0,6.11439228,80,hornsrev_254_8,T16,-16,53.12616465365193,-2916.6288091955057
914.0,-3347.0,6.05735588,80,hornsrev_254_8,T17,-16,-43.96503983187267,-3469.2754395222905
973.0,-3904.0,6.11400509,80,hornsrev_254_8,T18,-16,-140.78060696158047,-4020.960808153137
1120.0,0.0,6.10603333,80,hornsrev_254_8,T21,-16,1076.6130994509172,-308.7138385150391
1179.0,-558.0,6.10810947,80,hornsrev_254_8,T22,-16,979.5218949653924,-861.360468841824
1238.0,-1116.0,6.10715485,80,hornsrev_254_8,T23,-16,882.4306904798677,-1414.0070991686089
1297.0,-1674.0,6.09969759,80,hornsrev_254_8,T24,-16,785.3394859943429,-1966.6537294953937
1356.0,-2231.0,6.09545612,80,hornsrev_254_8,T25,-16,688.5239188646352,-2518.3390981262405
1415.0,-2789.0,6.10780716,80,hornsrev_254_8,T26,-16,591.4327143791105,-3070.9857284530253
