RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 7.40078931E-08   2.38229518E-06   8.84445456E-07   4.06308033E-07   2.68048012E-07   1.17739972E-07   9.24176784E-05   9.30524158E+00   3.16484237E+00   -1.28413467E-02   1.06917091E-01   9.33520603E+00   3.20662189E+00   -2.19556987E-02   1.06467113E-01   1.68632925E+00   2.14157700E+06   9.59084225E+00   1.68637002E+00   2.14334000E+06   9.60854053E+00 
0 10 9.25886425E-08   1.60701211E-06   8.70799738E-07   7.30263196E-07   3.05334709E-07   1.22316479E-09   1.07787321E-06   9.03720284E+00   3.00506544E+00   -2.17460081E-01   1.10472918E-01   8.97883129E+00   3.08665347E+00   -1.76404387E-01   1.10832386E-01   1.67589235E+00   2.06777712E+06   8.87219048E+00   1.67551625E+00   2.07138625E+06   8.88618088E+00 
0 20 5.02669337E-08   1.16124511E-06   6.63405046E-07   4.64758244E-07   1.88080747E-07   1.23092558E-09   1.10454778E-06   9.40085983E+00   3.00539923E+00   -3.09047461E-01   1.06888965E-01   9.33287048E+00   3.18129563E+00   -2.41420701E-01   1.06960483E-01   1.67869759E+00   2.03953675E+06   8.76555252E+00   1.67846286E+00   2.04213425E+06   8.77536106E+00 
0 30 4.27937294E-08   9.67781602E-07   5.36700668E-07   4.06313006E-07   1.35161244E-07   9.78907955E-10   1.00276498E-06   9.14824390E+00   2.99081278E+00   -3.87258470E-01   1.09825641E-01   9.09228134E+00   3.07237697E+00   -2.75525391E-01   1.10177286E-01   1.68417311E+00   1.93789612E+06   8.38174820E+00   1.68404353E+00   1.94421425E+06   8.40560627E+00 
0 40 2.75786860E-08   8.55211340E-07   4.76155208E-07   4.02151585E-07   8.92645033E-08   8.59793181E-10   8.47699710E-07   9.10918522E+00   3.02162027E+00   -4.04804051E-01   1.10407427E-01   9.13801193E+00   3.07389116E+00   -2.83358574E-01   1.09934844E-01   1.68408763E+00   1.88132812E+06   8.16814327E+00   1.68423140E+00   1.88905600E+06   8.19732475E+00 
0 50 1.94515906E-08   7.63585263E-07   4.12934583E-07   3.38885201E-07   5.85273732E-08   8.02305500E-10   7.05278524E-07   9.03383732E+00   3.03323841E+00   -4.60079700E-01   1.11433126E-01   9.11358643E+00   3.06448722E+00   -3.19221824E-01   1.10507250E-01   1.68253422E+00   1.83853050E+06   8.00653553E+00   1.68288577E+00   1.84574162E+06   8.03376579E+00 
0 60 1.70706862E-08   6.50596689E-07   3.59575523E-07   2.87000944E-07   4.92868928E-08   7.64893704E-10   6.11121777E-07   8.92530727E+00   3.02612424E+00   -4.88412142E-01   1.12865202E-01   9.05254841E+00   3.04442143E+00   -3.49919647E-01   1.11459322E-01   1.68039095E+00   1.80459600E+06   7.87839651E+00   1.68084466E+00   1.81082200E+06   7.90190649E+00 
0 70 1.23755699E-08   5.47572199E-07   3.14132393E-07   2.53226034E-07   3.54749368E-08   7.35056016E-10   5.36083746E-07   8.87125111E+00   3.01947570E+00   -4.83993143E-01   1.13676436E-01   9.02406979E+00   3.04241204E+00   -3.47164601E-01   1.11986272E-01   1.67881405E+00   1.78531438E+06   7.80558729E+00   1.67948699E+00   1.79315912E+06   7.83520985E+00 
0 80 9.29997679E-09   4.93797870E-07   2.83468125E-07   2.32335651E-07   2.68791389E-08   7.05254077E-10   4.69761432E-07   8.80946159E+00   3.01620865E+00   -4.61651713E-01   1.14527442E-01   8.99420452E+00   3.02622628E+00   -3.22330892E-01   1.12541944E-01   1.67714512E+00   1.76769250E+06   7.73904562E+00   1.67872441E+00   1.78430550E+06   7.80177784E+00 
0 90 8.38360403E-09   4.53791046E-07   2.54870116E-07   2.13416939E-07   2.52446313E-08   6.79403589E-10   4.13508246E-07   8.72709751E+00   3.02102280E+00   -4.48206395E-01   1.15536012E-01   8.96179581E+00   3.00851846E+00   -3.10077518E-01   1.13079280E-01   1.67621291E+00   1.74184638E+06   7.65795040E+00   1.67793512E+00   1.77574950E+06   7.76946974E+00 
0 100 6.96652158E-09   4.10397433E-07   2.18172175E-07   1.94362087E-07   2.03842898E-08   6.51453558E-10   3.68947497E-07   8.64832306E+00   3.04097271E+00   -4.51233268E-01   1.16407186E-01   8.92022610E+00   2.99175143E+00   -3.14125627E-01   1.13664053E-01   1.67845488E+00   1.70537225E+06   7.57827091E+00   1.67688847E+00   1.76516988E+06   7.72951984E+00 
0 110 6.04785599E-09   3.66829937E-07   1.86151340E-07   1.72276685E-07   1.65526348E-08   6.22418783E-10   3.35067739E-07   8.57925606E+00   3.06746507E+00   -4.56132859E-01   1.17116444E-01   8.88626671E+00   2.98052692E+00   -3.21139425E-01   1.14101410E-01   1.67999208E+00   1.67529812E+06   7.51257277E+00   1.67574263E+00   1.75440138E+06   7.68885708E+00 
0 120 5.54041657E-09   3.31196929E-07   1.63476386E-07   1.49270051E-07   1.47204453E-08   5.94188920E-10   3.09082935E-07   8.51975441E+00   3.09252095E+00   -4.49322522E-01   1.17723875E-01   8.86674881E+00   2.97682953E+00   -3.22192192E-01   1.14329197E-01   1.68102860E+00   1.65100000E+06   7.45949268E+00   1.67622221E+00   1.74170775E+06   7.65764713E+00 
0 130 4.60914773E-09   3.03254183E-07   1.44819225E-07   1.28831687E-07   1.20104326E-08   5.64662539E-10   2.86913320E-07   8.45672512E+00   3.10970235E+00   -4.29391593E-01   1.18428178E-01   8.85068512E+00   2.97458076E+00   -3.16983402E-01   1.14515357E-01   1.68187034E+00   1.62705812E+06   7.40719080E+00   1.67696738E+00   1.73029912E+06   7.63272476E+00 
0 140 3.99560163E-09   2.76861925E-07   1.27779543E-07   1.11538270E-07   1.10681526E-08   5.34082945E-10   2.66430220E-07   8.39107704E+00   3.12147999E+00   -4.03149605E-01   1.19206905E-01   8.83444023E+00   2.97171092E+00   -3.07634026E-01   1.14717737E-01   1.68252265E+00   1.60357075E+06   7.35588121E+00   1.67758429E+00   1.72035075E+06   7.61099195E+00 
0 150 3.72041975E-09   2.51497909E-07   1.13094018E-07   9.81350041E-08   1.06828839E-08   5.05869902E-10   2.47606408E-07   8.33447170E+00   3.12962580E+00   -3.77818972E-01   1.19901076E-01   8.81896591E+00   2.96718907E+00   -2.98144221E-01   1.14926964E-01   1.68293250E+00   1.58414925E+06   7.31345415E+00   1.67806196E+00   1.71228062E+06   7.59336281E+00 
0 160 3.36473183E-09   2.30240303E-07   1.01276221E-07   8.81773374E-08   9.30697119E-09   4.82436979E-10   2.30479458E-07   8.29101372E+00   3.13348961E+00   -3.53499174E-01   1.20455764E-01   8.80365944E+00   2.96149206E+00   -2.91262716E-01   1.15142003E-01   1.68316543E+00   1.56939262E+06   7.28121805E+00   1.67843544E+00   1.70571900E+06   7.57902861E+00 
0 170 2.93714630E-09   2.13644824E-07   9.16169114E-08   8.08700662E-08   7.76483766E-09   4.64054739E-10   2.14924370E-07   8.25727654E+00   3.13389230E+00   -3.27950537E-01   1.20906658E-01   8.78873730E+00   2.95630836E+00   -2.86935389E-01   1.15348905E-01   1.68330657E+00   1.55722100E+06   7.25462866E+00   1.67874300E+00   1.70013125E+06   7.56682205E+00 
0 180 2.51798538E-09   1.99756670E-07   8.36839575E-08   7.42526112E-08   6.64486777E-09   4.49369653E-10   2.00557778E-07   8.23145008E+00   3.13107777E+00   -3.02466571E-01   1.21272646E-01   8.77495861E+00   2.95232010E+00   -2.83835232E-01   1.15534388E-01   1.68339396E+00   1.54630725E+06   7.23078680E+00   1.67901313E+00   1.69507012E+06   7.55576563E+00 
0 190 2.25786745E-09   1.86888329E-07   7.73957680E-08   6.72557192E-08   6.19064311E-09   4.37190562E-10   1.87039689E-07   8.21573830E+00   3.12441301E+00   -2.79203653E-01   1.21526562E-01   8.76321507E+00   2.94919086E+00   -2.80325681E-01   1.15690753E-01   1.68343854E+00   1.53719125E+06   7.21087265E+00   1.67925680E+00   1.69037150E+06   7.54550123E+00 
0 200 2.08856132E-09   1.75278842E-07   7.22477083E-08   6.00297270E-08   5.89375793E-09   4.26691266E-10   1.74259185E-07   8.21303844E+00   3.11291385E+00   -2.58325964E-01   1.21635646E-01   8.75404072E+00   2.94650292E+00   -2.75835931E-01   1.15815572E-01   1.68345428E+00   1.53087612E+06   7.19707680E+00   1.67946851E+00   1.68617612E+06   7.53633642E+00 
0 210 1.95621563E-09   1.65314702E-07   6.79823842E-08   5.29212727E-08   5.50510437E-09   4.17180679E-10   1.62213794E-07   8.22262192E+00   3.09652710E+00   -2.39776567E-01   1.21609747E-01   8.74605370E+00   2.94389009E+00   -2.71238178E-01   1.15927584E-01   1.68345761E+00   1.52736725E+06   7.18941164E+00   1.67966235E+00   1.68223838E+06   7.52773380E+00 
0 220 1.79190052E-09   1.56522773E-07   6.42277058E-08   4.62690473E-08   4.91117369E-09   4.07896689E-10   1.50864423E-07   8.24103069E+00   3.07619762E+00   -2.25056022E-01   1.21489234E-01   8.73735619E+00   2.94121814E+00   -2.67823875E-01   1.16049394E-01   1.68345785E+00   1.52578100E+06   7.18594646E+00   1.67986357E+00   1.67804100E+06   7.51856470E+00 
0 230 1.60902847E-09   1.48353422E-07   6.07380315E-08   4.06249363E-08   4.29868852E-09   3.98440086E-10   1.40156445E-07   8.26548862E+00   3.05338264E+00   -2.16322333E-01   1.21303037E-01   8.72755241E+00   2.93855929E+00   -2.65988827E-01   1.16184480E-01   1.68345785E+00   1.52541900E+06   7.18515539E+00   1.68007255E+00   1.67355612E+06   7.50876713E+00 
0 240 1.52732160E-09   1.40564509E-07   5.74516790E-08   3.62648933E-08   4.22254187E-09   3.88880983E-10   1.30207908E-07   8.29452896E+00   3.02956629E+00   -2.14132100E-01   1.21063009E-01   8.71771431E+00   2.93606043E+00   -2.64947534E-01   1.16318837E-01   1.68345785E+00   1.52608238E+06   7.18660498E+00   1.68026590E+00   1.66928175E+06   7.49942970E+00 
0 250 1.52065383E-09   1.33225100E-07   5.43847314E-08   3.29321317E-08   4.42003678E-09   3.79348386E-10   1.20897440E-07   8.32694340E+00   3.00620317E+00   -2.17441142E-01   1.20778009E-01   8.70910549E+00   2.93377304E+00   -2.63601661E-01   1.16437249E-01   1.68345749E+00   1.52771300E+06   7.19016695E+00   1.68042374E+00   1.66569425E+06   7.49159288E+00 
