RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.18869845E-08   1.35673031E-06   5.98187313E-08   2.73028178E-07   1.51055076E-07   1.06519259E-07   8.33322774E-05   9.88927364E+00   -3.49084228E-01   -1.82593185E-02   1.06190860E-01   9.89506340E+00   -3.46798599E-01   -1.85626820E-02   1.06127806E-01   1.68641424E+00   2.14645350E+06   9.63979912E+00   1.68640721E+00   2.14574250E+06   9.63266182E+00 
0 10 2.06313864E-08   1.02104082E-06   8.92144598E-08   1.21482245E-07   7.66097585E-08   1.08544074E-09   6.05189371E-07   9.18992615E+00   -3.24793845E-01   -1.83250204E-01   1.14262365E-01   9.31038475E+00   -3.20901126E-01   -2.11249888E-01   1.12679280E-01   1.67674553E+00   2.05975925E+06   8.84191418E+00   1.67781389E+00   2.04906162E+06   8.80151844E+00 
0 20 1.13498366E-08   6.61224760E-07   1.23855685E-07   1.13950470E-07   3.97988913E-08   9.32290911E-10   5.63551168E-07   9.21495438E+00   -2.83226371E-01   -2.40143090E-01   1.14315964E-01   9.28225803E+00   -3.05745870E-01   -2.91200757E-01   1.13188691E-01   1.68211293E+00   1.99281238E+06   8.58911705E+00   1.68248117E+00   1.98603975E+06   8.56354237E+00 
0 30 8.70475869E-09   4.96692564E-07   1.10594655E-07   8.53956053E-08   3.23577467E-08   8.20134571E-10   5.11576104E-07   9.34960938E+00   -2.94521123E-01   -2.31359839E-01   1.13290936E-01   9.26706696E+00   -3.53629440E-01   -2.32899681E-01   1.13779381E-01   1.68372393E+00   1.95610800E+06   8.45051861E+00   1.68393135E+00   1.94882650E+06   8.42302227E+00 
0 40 7.65956276E-09   4.24915555E-07   7.88419001E-08   7.04966823E-08   2.84088344E-08   7.12147008E-10   4.56512510E-07   9.16054821E+00   -3.04634511E-01   -2.96058476E-01   1.16238467E-01   9.17998886E+00   -3.60134512E-01   -2.40216956E-01   1.15312174E-01   1.68419075E+00   1.88662812E+06   8.18815613E+00   1.68396699E+00   1.87611425E+06   8.14845562E+00 
0 50 5.92930283E-09   3.76907110E-07   6.46919034E-08   6.96693760E-08   2.05544772E-08   6.37480735E-10   4.19765257E-07   8.93788338E+00   -2.68746465E-01   -3.76924276E-01   1.19693130E-01   9.07827282E+00   -3.21728140E-01   -3.33518982E-01   1.16891585E-01   1.68099892E+00   1.81302912E+06   7.91024065E+00   1.68010080E+00   1.80079512E+06   7.86404419E+00 
0 60 5.97851191E-09   3.18792161E-07   6.46476224E-08   5.57773312E-08   1.96006678E-08   5.79199855E-10   3.90669470E-07   8.92792225E+00   -2.31634557E-01   -4.42110270E-01   1.20363325E-01   9.01603222E+00   -3.02791208E-01   -3.70710194E-01   1.17837667E-01   1.67681324E+00   1.76443838E+06   7.72675800E+00   1.67563510E+00   1.75028700E+06   7.67638874E+00 
0 70 4.56791582E-09   2.80286798E-07   6.45097060E-08   4.74566271E-08   1.49238133E-08   5.30839483E-10   3.65093541E-07   8.99305820E+00   -2.15355977E-01   -4.90436077E-01   1.19985156E-01   9.02214718E+00   -2.98636168E-01   -3.34414333E-01   1.17827207E-01   1.67693579E+00   1.73079662E+06   7.63381147E+00   1.67842185E+00   1.70596262E+06   7.57956076E+00 
0 80 3.59784824E-09   2.57729937E-07   5.81917270E-08   4.53762041E-08   1.23000525E-08   4.80981088E-10   3.37130700E-07   9.06141281E+00   -2.09016398E-01   -5.21391213E-01   1.19505726E-01   9.07329178E+00   -2.87916541E-01   -3.05907875E-01   1.17182367E-01   1.67823982E+00   1.70918575E+06   7.58660173E+00   1.67960680E+00   1.68337738E+06   7.53022242E+00 
0 90 3.06934922E-09   2.40783748E-07   5.09314582E-08   4.40347492E-08   1.04726343E-08   4.39764031E-10   3.12429563E-07   9.12789059E+00   -1.99724391E-01   -5.67056894E-01   1.18940622E-01   9.12636089E+00   -2.75306582E-01   -2.99310237E-01   1.16498381E-01   1.67899168E+00   1.69547788E+06   7.55665636E+00   1.68022954E+00   1.67009600E+06   7.50120878E+00 
0 100 2.77178702E-09   2.26605493E-07   4.78319109E-08   4.10311927E-08   8.99964991E-09   4.07863188E-10   2.91453432E-07   9.19714737E+00   -1.94858998E-01   -6.09739006E-01   1.18219264E-01   9.15069771E+00   -2.65359879E-01   -2.93636054E-01   1.16165631E-01   1.67946517E+00   1.68624500E+06   7.53648663E+00   1.68063962E+00   1.66063388E+06   7.48053789E+00 
0 110 2.64483524E-09   2.13740194E-07   4.63244234E-08   3.66047175E-08   8.51366178E-09   3.82304577E-10   2.72696212E-07   9.26754856E+00   -1.89961836E-01   -6.29211485E-01   1.17391177E-01   9.15826225E+00   -2.62355059E-01   -2.75963068E-01   1.16025597E-01   1.67975998E+00   1.68021738E+06   7.52331924E+00   1.68094409E+00   1.65315575E+06   7.46420193E+00 
0 120 2.27985963E-09   2.02015528E-07   4.37216876E-08   3.46351641E-08   7.49494777E-09   3.60023511E-10   2.54547302E-07   9.32682323E+00   -1.83311537E-01   -6.25638366E-01   1.16633862E-01   9.16981125E+00   -2.69391358E-01   -2.50805020E-01   1.15836881E-01   1.67994726E+00   1.67626188E+06   7.51467800E+00   1.68108928E+00   1.64943200E+06   7.45606709E+00 
