RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 8.72544774E-08   4.37117433E-06   5.89610181E-07   6.22105460E-07   3.17887327E-07   1.25930953E-07   9.85251609E-05   9.95155048E+00   -4.60226787E-03   8.86326376E-03   1.05598040E-01   9.93669987E+00   -3.40543762E-02   2.05908739E-03   1.05754487E-01   9.93314743E+00   -1.72515474E-02   7.47113209E-03   1.05792731E-01   1.68640161E+00   2.15232425E+06   9.69873619E+00   1.68640304E+00   2.15220900E+06   9.69757938E+00   1.68639851E+00   2.15256200E+06   9.70112228E+00 
0 10 2.52777369E-07   3.62784999E-06   1.72907448E-06   1.22751749E-06   8.70883071E-07   1.00358521E-09   1.22357358E-06   9.56230545E+00   -8.69299620E-02   5.87856323E-02   1.09892301E-01   9.49012375E+00   -1.86487690E-01   3.22340466E-02   1.10698223E-01   9.48226070E+00   -1.07388623E-01   3.72018851E-02   1.10816874E-01   1.67918563E+00   2.08573688E+06   9.03025055E+00   1.67912459E+00   2.08547175E+06   9.02758884E+00   1.67942214E+00   2.08677588E+06   9.04068089E+00 
0 20 2.41571826E-07   3.32227228E-06   2.08121446E-06   1.71854651E-06   8.10681058E-07   1.31814648E-09   1.25635529E-06   9.81328011E+00   -2.24795699E-01   9.21724513E-02   1.07043654E-01   9.69208527E+00   -2.67264187E-01   5.55558875E-02   1.08355850E-01   9.67364979E+00   -1.72609389E-01   5.62715977E-02   1.08642049E-01   1.67553651E+00   2.07145800E+06   8.88690186E+00   1.67551959E+00   2.07139775E+06   8.88629627E+00   1.67594552E+00   2.07292475E+06   8.90162659E+00 
0 30 1.82168449E-07   2.91029392E-06   2.09637210E-06   1.68217105E-06   5.88294427E-07   1.61320590E-09   1.34240838E-06   1.01312180E+01   -2.72002757E-01   1.13916710E-01   1.03764020E-01   1.00014544E+01   -3.41851890E-01   5.07752672E-02   1.05074450E-01   1.00130310E+01   -2.78965890E-01   4.20644395E-02   1.05002820E-01   1.67692792E+00   2.05798812E+06   8.83522606E+00   1.67693067E+00   2.05796112E+06   8.83512402E+00   1.67679250E+00   2.05930562E+06   8.84020042E+00 
0 40 1.35368964E-07   2.51902156E-06   1.78637242E-06   1.48643710E-06   4.37436114E-07   1.20508581E-09   1.08654456E-06   1.02264252E+01   -2.80127853E-01   1.20236173E-01   1.02901526E-01   1.01102839E+01   -3.76643777E-01   4.09879871E-02   1.04045518E-01   1.01077070E+01   -3.10208261E-01   8.34576972E-03   1.04110949E-01   1.68055904E+00   2.01668338E+06   8.67925549E+00   1.68056393E+00   2.01661788E+06   8.67900848E+00   1.68095124E+00   2.01120062E+06   8.65855217E+00 
0 50 1.10305145E-07   2.37216545E-06   1.49962511E-06   1.32050388E-06   3.54617470E-07   9.55294732E-10   9.01156852E-07   1.02224255E+01   -2.84255743E-01   1.20632485E-01   1.03012010E-01   1.01052856E+01   -3.36114109E-01   3.34287994E-02   1.04172841E-01   1.00778208E+01   -2.89298117E-01   -1.58225577E-02   1.04471192E-01   1.68322957E+00   1.96989212E+06   8.50256824E+00   1.68327248E+00   1.96882712E+06   8.49854660E+00   1.68359935E+00   1.95995325E+06   8.46503830E+00 
0 60 9.33838180E-08   2.36783990E-06   1.30450803E-06   1.16144508E-06   2.97437140E-07   8.83813578E-10   7.90220042E-07   1.02087126E+01   -2.67379224E-01   1.25089332E-01   1.03220701E-01   1.00797176E+01   -2.70381004E-01   4.88479845E-02   1.04505025E-01   1.00449409E+01   -2.30088905E-01   -1.36726554E-02   1.04868785E-01   1.68432224E+00   1.92779188E+06   8.34359455E+00   1.68434274E+00   1.92584512E+06   8.33624268E+00   1.68440485E+00   1.91630400E+06   8.30021572E+00 
0 70 7.91205963E-08   2.28634758E-06   1.15989565E-06   1.03644015E-06   2.49559548E-07   8.67437011E-10   7.04708043E-07   1.01748829E+01   -2.22933725E-01   1.10560313E-01   1.03674486E-01   1.00420809E+01   -1.94651425E-01   4.96096872E-02   1.04998492E-01   1.00199270E+01   -1.66701794E-01   -1.86769813E-02   1.05221562E-01   1.68422329E+00   1.88855300E+06   8.19542503E+00   1.68420279E+00   1.88732262E+06   8.19077873E+00   1.68397987E+00   1.87663800E+06   8.15043354E+00 
0 80 6.74994283E-08   2.12041186E-06   1.04011042E-06   9.48684374E-07   2.04826961E-07   8.90671370E-10   6.44212662E-07   1.01121588E+01   -1.72592014E-01   9.16378051E-02   1.04443945E-01   9.98695755E+00   -1.33721590E-01   4.81295735E-02   1.05693296E-01   9.97796917E+00   -1.14774287E-01   -2.48322170E-02   1.05763018E-01   1.68320763E+00   1.85311412E+06   8.06160450E+00   1.68322670E+00   1.85358100E+06   8.06336784E+00   1.68268061E+00   1.84144262E+06   8.01753235E+00 
0 90 6.09107502E-08   1.94683912E-06   9.40199072E-07   8.77754417E-07   1.78478459E-07   9.07473430E-10   5.93552784E-07   1.00473738E+01   -1.35009855E-01   7.66496584E-02   1.05242796E-01   9.93015003E+00   -8.87335613E-02   5.05501777E-02   1.06408536E-01   9.92136765E+00   -7.00196028E-02   -2.52529178E-02   1.06467642E-01   1.68175757E+00   1.82469288E+06   7.95428419E+00   1.68188059E+00   1.82673300E+06   7.96198750E+00   1.68111360E+00   1.81470225E+06   7.91655874E+00 
