RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 7.39711439E-08   2.33427954E-06   1.02148408E-06   4.21604966E-07   2.67878761E-07   1.17792439E-07   9.24591222E-05   9.03558350E+00   -3.87068009E+00   -7.52348406E-03   1.06906600E-01   9.07116032E+00   -3.85489225E+00   -3.87670547E-02   1.06622934E-01   1.68631852E+00   2.14118000E+06   9.58685589E+00   1.68636286E+00   2.14299050E+06   9.60503197E+00 
0 10 9.26136536E-08   1.57177055E-06   9.23031109E-07   7.32599062E-07   3.06064351E-07   1.22524280E-09   1.07095480E-06   8.73408127E+00   -3.85972619E+00   -1.61006898E-01   1.10133253E-01   8.72054863E+00   -3.71227241E+00   -2.94413716E-01   1.10962816E-01   1.67567611E+00   2.06974362E+06   8.87961578E+00   1.67594945E+00   2.06725312E+06   8.87021160E+00 
0 20 5.02578779E-08   1.13759347E-06   6.91252751E-07   4.69924402E-07   1.88506377E-07   1.23620669E-09   1.10997462E-06   8.98576832E+00   -4.05898905E+00   -2.52713442E-01   1.06978312E-01   9.00646210E+00   -3.79471612E+00   -3.68871868E-01   1.07916921E-01   1.67904973E+00   2.03553850E+06   8.75045395E+00   1.67861998E+00   2.04040188E+06   8.76881886E+00 
0 30 4.25934843E-08   9.46282569E-07   5.57177998E-07   4.11096011E-07   1.34413085E-07   9.75037051E-10   9.99879830E-07   8.80110931E+00   -3.88466549E+00   -3.16769183E-01   1.09844804E-01   8.77202702E+00   -3.78447056E+00   -4.56506461E-01   1.10599644E-01   1.68421602E+00   1.93543350E+06   8.37244987E+00   1.68411648E+00   1.94082562E+06   8.39281082E+00 
0 40 2.74174656E-08   8.46456317E-07   4.88265073E-07   4.01687998E-07   8.88258427E-08   8.62674654E-10   8.41710687E-07   8.74457073E+00   -3.84852052E+00   -3.08945298E-01   1.10885315E-01   8.72167301E+00   -3.76574826E+00   -4.30339158E-01   1.11474641E-01   1.68406057E+00   1.88008675E+06   8.16345596E+00   1.68417144E+00   1.88555375E+06   8.18410015E+00 
0 50 1.95407193E-08   7.53823883E-07   4.19074098E-07   3.40034092E-07   5.92481442E-08   8.00711053E-10   7.01700685E-07   8.66925049E+00   -3.78356171E+00   -3.38396311E-01   1.12236120E-01   8.67803764E+00   -3.75780058E+00   -4.38226759E-01   1.12252906E-01   1.68242598E+00   1.83644912E+06   7.99867630E+00   1.68278277E+00   1.84355062E+06   8.02549267E+00 
0 60 1.73497039E-08   6.41998724E-07   3.58976109E-07   2.89567595E-07   5.02898736E-08   7.63125507E-10   6.09060635E-07   8.54692268E+00   -3.72950912E+00   -3.49390626E-01   1.14023134E-01   8.57448483E+00   -3.73464394E+00   -4.47222054E-01   1.13697350E-01   1.68033278E+00   1.80382338E+06   7.87547874E+00   1.68068814E+00   1.80863212E+06   7.89363718E+00 
0 70 1.24192692E-08   5.43402450E-07   3.10485092E-07   2.53761925E-07   3.59965888E-08   7.35389860E-10   5.34282492E-07   8.47882938E+00   -3.72146153E+00   -3.33564311E-01   1.14982344E-01   8.52827358E+00   -3.71439338E+00   -4.23095226E-01   1.14517152E-01   1.67885232E+00   1.78574738E+06   7.80722237E+00   1.67937660E+00   1.79183675E+06   7.83021641E+00 
0 80 9.33721811E-09   4.91382423E-07   2.78213179E-07   2.34452841E-07   2.70622600E-08   7.02116865E-10   4.67769496E-07   8.39867973E+00   -3.72229910E+00   -3.19714546E-01   1.16001092E-01   8.49317265E+00   -3.70652771E+00   -4.03280139E-01   1.15116939E-01   1.67731750E+00   1.76941175E+06   7.74553776E+00   1.67866397E+00   1.78363112E+06   7.79923153E+00 
0 90 8.45367598E-09   4.49445281E-07   2.46000752E-07   2.15417757E-07   2.52116106E-08   6.76707024E-10   4.13648053E-07   8.31784725E+00   -3.73481131E+00   -3.24029952E-01   1.16939142E-01   8.45664597E+00   -3.69869351E+00   -4.02462602E-01   1.15692496E-01   1.67560339E+00   1.75074125E+06   7.67738152E+00   1.67790735E+00   1.77545775E+06   7.76836777E+00 
