RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 1.13347035E-07   2.67843848E-06   1.07363655E-06   5.37605843E-07   4.15048675E-07   2.03650075E-07   1.33244626E-04   1.10982857E+01   -4.29156446E+00   -6.88669737E-03   1.05975948E-01   1.11236248E+01   -4.27402306E+00   -3.46425064E-02   1.05824143E-01   1.67737627E+00   2.27554275E+06   1.16241741E+01   1.67720830E+00   2.27601725E+06   1.16355648E+01 
0 10 9.27290387E-08   1.80569953E-06   8.76426725E-07   6.25093378E-07   3.10520647E-07   2.08313100E-09   1.52127120E-06   1.08416023E+01   -4.27727461E+00   -1.02341965E-01   1.08284295E-01   1.08356848E+01   -4.17970037E+00   -2.35721767E-01   1.08665504E-01   1.68119454E+00   2.25635550E+06   1.11634703E+01   1.68119991E+00   2.25624100E+06   1.11607199E+01 
0 20 4.60788172E-08   1.23870564E-06   6.46136812E-07   4.28872823E-07   1.70600458E-07   1.82687843E-09   1.37793097E-06   1.09723120E+01   -4.38200092E+00   -1.97965905E-01   1.07063457E-01   1.10056353E+01   -4.21357012E+00   -3.02621245E-01   1.07305706E-01   1.68126667E+00   2.25352300E+06   1.10954561E+01   1.68126178E+00   2.25413800E+06   1.11102276E+01 
0 30 3.70972195E-08   9.77369723E-07   5.01926252E-07   3.54591293E-07   1.20576473E-07   1.57222124E-09   1.27006103E-06   1.08296356E+01   -4.28237963E+00   -2.58369863E-01   1.08821005E-01   1.08392868E+01   -4.19407940E+00   -3.65856707E-01   1.09025836E-01   1.68054736E+00   2.24376675E+06   1.08611994E+01   1.68068933E+00   2.24476125E+06   1.08850822E+01 
0 40 2.57987285E-08   8.47626723E-07   4.32443102E-07   3.34146762E-07   8.33935729E-08   1.41250078E-09   1.08833206E-06   1.07737951E+01   -4.23458242E+00   -2.80091017E-01   1.09694466E-01   1.07963972E+01   -4.18825960E+00   -3.46266150E-01   1.09648600E-01   1.67935789E+00   2.23775775E+06   1.07169228E+01   1.67958093E+00   2.23869550E+06   1.07394361E+01 
0 50 1.76840693E-08   7.42695363E-07   3.66125079E-07   2.83758823E-07   5.58998856E-08   1.29015376E-09   9.30339581E-07   1.07261848E+01   -4.19165707E+00   -3.14143658E-01   1.10484451E-01   1.07698040E+01   -4.17100382E+00   -3.50378513E-01   1.10195816E-01   1.67806673E+00   2.23317075E+06   1.06067810E+01   1.67842209E+00   2.23432250E+06   1.06344347E+01 
0 60 1.59143951E-08   6.22171342E-07   3.07878196E-07   2.35807946E-07   4.82500724E-08   1.19376786E-09   8.15037197E-07   1.06407433E+01   -4.15506840E+00   -3.25201362E-01   1.11565083E-01   1.06994934E+01   -4.15296698E+00   -3.56937051E-01   1.11082651E-01   1.67684126E+00   2.22962425E+06   1.05216293E+01   1.67720664E+00   2.23062350E+06   1.05456228E+01 
0 70 1.15888783E-08   5.23954554E-07   2.62320128E-07   2.00314062E-07   3.57187702E-08   1.10958143E-09   7.22291304E-07   1.05947304E+01   -4.15307331E+00   -3.13726366E-01   1.12161025E-01   1.06644859E+01   -4.13596439E+00   -3.43297988E-01   1.11629859E-01   1.67602932E+00   2.22754175E+06   1.04716263E+01   1.67648339E+00   2.22868475E+06   1.04990692E+01 
0 80 8.28142710E-09   4.65393043E-07   2.30999902E-07   1.78319794E-07   2.59532005E-08   1.02966102E-09   6.44951399E-07   1.05444489E+01   -4.15790367E+00   -3.04290473E-01   1.12742692E-01   1.06442232E+01   -4.12758636E+00   -3.29718351E-01   1.11977503E-01   1.67587125E+00   2.22494275E+06   1.04277697E+01   1.67617178E+00   2.22789500E+06   1.04801035E+01 
0 90 7.40000550E-09   4.21293521E-07   2.03300516E-07   1.55653410E-07   2.39876687E-08   9.58155444E-10   5.81300128E-07   1.04874716E+01   -4.16493034E+00   -3.07987750E-01   1.13345511E-01   1.06182108E+01   -4.12157583E+00   -3.29222769E-01   1.12330206E-01   1.67734551E+00   2.21942400E+06   1.03723660E+01   1.67583597E+00   2.22707025E+06   1.04603014E+01 
0 100 6.20784801E-09   3.79838923E-07   1.74760174E-07   1.33356266E-07   1.98692423E-08   8.88843388E-10   5.28005728E-07   1.04400253E+01   -4.17302227E+00   -3.26623678E-01   1.13827303E-01   1.05908833E+01   -4.11653042E+00   -3.39648902E-01   1.12664722E-01   1.67870867E+00   2.21390625E+06   1.03169727E+01   1.67565417E+00   2.22572200E+06   1.04355927E+01 
0 110 5.50332846E-09   3.43268198E-07   1.52107987E-07   1.11515284E-07   1.68056484E-08   8.25010171E-10   4.83992324E-07   1.04009447E+01   -4.17735147E+00   -3.43700439E-01   1.14221372E-01   1.05661030E+01   -4.11011410E+00   -3.49340975E-01   1.12961195E-01   1.67986178E+00   2.20884425E+06   1.02661552E+01   1.67641115E+00   2.22296950E+06   1.04079609E+01 
0 120 4.99719865E-09   3.14659331E-07   1.36593073E-07   9.28105379E-08   1.47571626E-08   7.70473352E-10   4.47368052E-07   1.03674803E+01   -4.18217707E+00   -3.46022815E-01   1.14550166E-01   1.05519342E+01   -4.10273552E+00   -3.50424737E-01   1.13152966E-01   1.68080986E+00   2.20433800E+06   1.02209139E+01   1.67701519E+00   2.22069750E+06   1.03851519E+01 
0 130 4.62684113E-09   2.92482525E-07   1.24567748E-07   7.81843639E-08   1.34711318E-08   7.23665905E-10   4.15116943E-07   1.03342791E+01   -4.18823385E+00   -3.38446707E-01   1.14869565E-01   1.05419931E+01   -4.09541225E+00   -3.44853014E-01   1.13302842E-01   1.68164670E+00   2.20003200E+06   1.01776857E+01   1.67752492E+00   2.21872300E+06   1.03653288E+01 
0 140 4.78329909E-09   2.72743392E-07   1.14335087E-07   6.64680115E-08   1.42973926E-08   6.83944124E-10   3.85738218E-07   1.03019562E+01   -4.19367886E+00   -3.31602633E-01   1.15181610E-01   1.05321617E+01   -4.08894634E+00   -3.37958425E-01   1.13447562E-01   1.68238997E+00   2.19587825E+06   1.01359844E+01   1.67798924E+00   2.21687425E+06   1.03467684E+01 
0 150 4.70070738E-09   2.54178701E-07   1.05536998E-07   5.72433798E-08   1.39684468E-08   6.51749488E-10   3.58943026E-07   1.02771463E+01   -4.19665909E+00   -3.30447644E-01   1.15429424E-01   1.05239964E+01   -4.08385849E+00   -3.33825171E-01   1.13570355E-01   1.68297541E+00   2.19232850E+06   1.01003494E+01   1.67837918E+00   2.21528200E+06   1.03307838E+01 
