RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 7.30776506E-08   2.48748165E-06   3.52961251E-07   4.16838247E-07   2.65334648E-07   1.18539994E-07   9.30628594E-05   9.85069752E+00   8.47065687E-01   2.38943640E-02   1.06288575E-01   9.80269432E+00   8.43345165E-01   -4.97401208E-02   1.06804244E-01   1.68636000E+00   2.14286000E+06   9.60372162E+00   1.68635380E+00   2.14257950E+06   9.60090733E+00 
0 10 9.15595564E-08   1.66053007E-06   6.84364920E-07   6.92100912E-07   3.01595406E-07   1.23657606E-09   1.09655537E-06   9.49993992E+00   7.92800486E-01   1.21591076E-01   1.10353097E-01   9.40194416E+00   7.17316210E-01   -3.41003269E-01   1.11433946E-01   1.67666221E+00   2.06056075E+06   8.84494019E+00   1.67677975E+00   2.05942838E+06   8.84066486E+00 
0 20 5.03187856E-08   1.19305992E-06   5.59058947E-07   4.64497560E-07   1.89280144E-07   1.24346822E-09   1.12019586E-06   1.00159435E+01   6.94702506E-01   2.55214334E-01   1.05115458E-01   9.86073303E+00   7.16839254E-01   -4.75765198E-01   1.06625795E-01   1.67874908E+00   2.03895988E+06   8.76337433E+00   1.67867613E+00   2.03977675E+06   8.76645851E+00 
0 30 4.19128980E-08   1.00551176E-06   4.33060990E-07   3.95106241E-07   1.32051440E-07   9.92028792E-10   1.01189755E-06   9.83619022E+00   7.40562737E-01   2.32610062E-01   1.07251443E-01   9.62828541E+00   7.04921544E-01   -5.00843108E-01   1.09411627E-01   1.68423367E+00   1.93434050E+06   8.36832237E+00   1.68424118E+00   1.93386725E+06   8.36653519E+00 
0 40 2.79112093E-08   8.82158474E-07   3.92576055E-07   4.01896074E-07   8.95387799E-08   8.60368721E-10   8.56473434E-07   9.84998703E+00   7.87453353E-01   2.53246307E-01   1.07294887E-01   9.65012741E+00   7.08637238E-01   -4.39668953E-01   1.09458640E-01   1.68399727E+00   1.87735162E+06   8.15312767E+00   1.68405688E+00   1.87992175E+06   8.16283321E+00 
0 50 1.98489243E-08   7.85523639E-07   3.35560458E-07   3.33845435E-07   6.11056166E-08   8.01219813E-10   7.16283694E-07   9.88199234E+00   8.06245983E-01   2.14380667E-01   1.07206710E-01   9.63877010E+00   7.25370169E-01   -4.24131960E-01   1.09842941E-01   1.68250680E+00   1.83799762E+06   8.00452328E+00   1.68270087E+00   1.84185600E+06   8.01909351E+00 
0 60 1.72944645E-08   6.80285439E-07   2.92549799E-07   2.86476279E-07   4.97339308E-08   7.59095786E-10   6.25379187E-07   9.79384518E+00   8.22038531E-01   1.55649662E-01   1.08334497E-01   9.56808376E+00   7.34577060E-01   -4.23416734E-01   1.10829957E-01   1.68023753E+00   1.80256975E+06   7.87074518E+00   1.68066144E+00   1.80826275E+06   7.89224243E+00 
0 70 1.26493509E-08   5.80258188E-07   2.61451731E-07   2.59366061E-07   3.62824437E-08   7.27147897E-10   5.48204241E-07   9.75633049E+00   8.38644922E-01   1.61813065E-01   1.08867548E-01   9.53164005E+00   7.48143613E-01   -4.07235026E-01   1.11394949E-01   1.67870665E+00   1.78410688E+06   7.80102777E+00   1.67929089E+00   1.79081988E+06   7.82637691E+00 
0 80 9.72629621E-09   5.19551065E-07   2.36751205E-07   2.38260327E-07   2.77754246E-08   6.96568969E-10   4.79960022E-07   9.73881340E+00   8.38888645E-01   1.63046941E-01   1.09135054E-01   9.50135422E+00   7.43361235E-01   -4.01275635E-01   1.11850545E-01   1.67773652E+00   1.77367912E+06   7.76165152E+00   1.67816830E+00   1.77822038E+06   7.77880001E+00 
0 90 8.25663182E-09   4.70889546E-07   2.12796493E-07   2.16485503E-07   2.28941648E-08   6.70889511E-10   4.24262936E-07   9.70456028E+00   8.40266764E-01   1.75984398E-01   1.09527901E-01   9.48168278E+00   7.31459856E-01   -4.07404512E-01   1.12142161E-01   1.67647350E+00   1.76118162E+06   7.71446037E+00   1.67709196E+00   1.76716538E+06   7.73705530E+00 
0 100 7.18162774E-09   4.27092004E-07   1.81370297E-07   1.97283867E-07   2.02483879E-08   6.43199161E-10   3.79561925E-07   9.66634464E+00   8.42415094E-01   1.81524321E-01   1.09944850E-01   9.46257496E+00   7.24022448E-01   -4.13915783E-01   1.12404570E-01   1.67615056E+00   1.74277312E+06   7.65997458E+00   1.67600441E+00   1.75679562E+06   7.69789839E+00 
0 110 6.10879969E-09   3.88166200E-07   1.52318549E-07   1.77667573E-07   1.73901622E-08   6.13840256E-10   3.44406402E-07   9.62914276E+00   8.51948202E-01   1.73923820E-01   1.10342897E-01   9.44475842E+00   7.13247180E-01   -4.17129368E-01   1.12649076E-01   1.67770755E+00   1.71830062E+06   7.60651350E+00   1.67612040E+00   1.74321912E+06   7.66094923E+00 
0 120 5.24014609E-09   3.52939168E-07   1.31376439E-07   1.56774092E-07   1.40988909E-08   5.85617832E-10   3.16703904E-07   9.59606934E+00   8.60038400E-01   1.64682567E-01   1.10700384E-01   9.43523884E+00   7.02271998E-01   -4.15245026E-01   1.12796083E-01   1.67890060E+00   1.69719738E+06   7.56041288E+00   1.67686975E+00   1.73183100E+06   7.63607121E+00 
0 130 4.64703209E-09   3.22245143E-07   1.14859105E-07   1.34949403E-07   1.21107506E-08   5.57001278E-10   2.93227004E-07   9.56378555E+00   8.63374829E-01   1.57082945E-01   1.11060701E-01   9.42370319E+00   6.93340957E-01   -4.10726815E-01   1.12961739E-01   1.67983472E+00   1.67865112E+06   7.51989746E+00   1.67744458E+00   1.72264812E+06   7.61601114E+00 
0 140 4.13489110E-09   2.94892800E-07   1.00269880E-07   1.16855063E-07   1.08630012E-08   5.28551203E-10   2.72668416E-07   9.52650166E+00   8.63394916E-01   1.53384119E-01   1.11486599E-01   9.40445137E+00   6.86606705E-01   -4.02623057E-01   1.13212988E-01   1.68066847E+00   1.65994525E+06   7.47903395E+00   1.67804980E+00   1.71249138E+06   7.59382296E+00 
0 150 3.68580522E-09   2.70491569E-07   8.78672921E-08   1.03345364E-07   9.92257032E-09   5.01502784E-10   2.54147437E-07   9.48142242E+00   8.62085402E-01   1.52390376E-01   1.12008929E-01   9.38072300E+00   6.83262289E-01   -3.91728491E-01   1.13511004E-01   1.68144536E+00   1.63977938E+06   7.43498039E+00   1.67862535E+00   1.70229025E+06   7.57153797E+00 
0 160 3.27827765E-09   2.48868702E-07   7.75386582E-08   9.23317884E-08   9.13717280E-09   4.77320794E-10   2.37104373E-07   9.42834187E+00   8.63359809E-01   1.49726957E-01   1.12630188E-01   9.35897446E+00   6.82012677E-01   -3.81518394E-01   1.13780476E-01   1.68214083E+00   1.61804900E+06   7.38750982E+00   1.67910123E+00   1.69338625E+06   7.55208683E+00 
0 170 2.92209901E-09   2.29929412E-07   6.93971742E-08   8.30873788E-08   8.15409784E-09   4.56950200E-10   2.21156739E-07   9.36982250E+00   8.67921948E-01   1.44431725E-01   1.13321386E-01   9.34278774E+00   6.80923343E-01   -3.74076754E-01   1.13981292E-01   1.68270946E+00   1.59539488E+06   7.33802080E+00   1.67945278E+00   1.68649388E+06   7.53703022E+00 
0 180 2.64796163E-09   2.14510180E-07   6.26694572E-08   7.50804290E-08   7.20846094E-09   4.40020215E-10   2.06028218E-07   9.30724335E+00   8.74987721E-01   1.38435706E-01   1.14068210E-01   9.33258247E+00   6.79883838E-01   -3.68496507E-01   1.14110038E-01   1.68312943E+00   1.57198662E+06   7.28688431E+00   1.67969668E+00   1.68153100E+06   7.52618885E+00 
0 190 2.45469467E-09   2.03057311E-07   5.69823158E-08   6.77779184E-08   6.62628707E-09   4.25944252E-10   1.92208120E-07   9.23956776E+00   8.83902550E-01   1.33735746E-01   1.14886418E-01   9.32571602E+00   6.78808868E-01   -3.63423109E-01   1.14199877E-01   1.68338919E+00   1.54705175E+06   7.23241329E+00   1.67988861E+00   1.67751138E+06   7.51740789E+00 
