RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 1 4.26183036E-08   1.32479249E-06   9.38395459E-08   2.76514839E-07   1.53145308E-07   9.37958617E-08   7.33532142E-05   9.96067238E+00   -6.96605980E-01   -3.24790552E-03   1.05239280E-01   9.95825005E+00   -6.96427941E-01   -3.04564275E-03   1.05265133E-01   1.68641186E+00   2.14618900E+06   9.63714409E+00   1.68640471E+00   2.14551850E+06   9.63041210E+00 
0 10 7.12378556E-09   9.66081416E-07   7.10909660E-08   9.38712006E-08   3.63278865E-08   1.05809450E-09   6.05009006E-07   9.68323517E+00   -6.83628142E-01   -5.70301749E-02   1.08257525E-01   9.67031384E+00   -6.85130775E-01   -4.92264442E-02   1.08405583E-01   1.68037868E+00   2.09116738E+06   9.08476830E+00   1.68014324E+00   2.09005625E+06   9.07361317E+00 
0 20 6.47434950E-09   5.91171101E-07   5.55904194E-08   5.97075740E-08   2.69952203E-08   8.85684692E-10   5.36538437E-07   9.49677658E+00   -6.84165776E-01   -9.24530104E-02   1.10464528E-01   9.47467804E+00   -6.93245709E-01   -1.16877437E-01   1.10716209E-01   1.67856002E+00   2.04106638E+06   8.77132797E+00   1.67995298E+00   2.02463300E+06   8.70927429E+00 
0 30 5.13365350E-09   4.42578454E-07   5.48909824E-08   5.06816065E-08   1.99824424E-08   7.64932173E-10   4.82411167E-07   9.43038750E+00   -6.84317291E-01   -1.06103480E-01   1.11277513E-01   9.40157413E+00   -7.13968277E-01   -1.09115630E-01   1.11671619E-01   1.68185806E+00   1.99718638E+06   8.60563374E+00   1.68314219E+00   1.97199988E+06   8.51052666E+00 
0 40 4.08097511E-09   3.74712755E-07   5.25428590E-08   4.37471321E-08   1.59836269E-08   6.71442013E-10   4.37879152E-07   9.40865517E+00   -6.79332614E-01   -7.66564310E-02   1.11556463E-01   9.36055851E+00   -7.33398020E-01   -6.13367334E-02   1.12199292E-01   1.68347144E+00   1.96360725E+06   8.47883606E+00   1.68420517E+00   1.93607775E+06   8.37488270E+00 
0 50 3.77302944E-09   3.10353215E-07   4.48660131E-08   3.63887303E-08   1.43355283E-08   5.94175764E-10   3.99274711E-07   9.35404968E+00   -6.73031807E-01   -4.56277467E-02   1.12259179E-01   9.28688145E+00   -7.39113510E-01   -1.55159943E-02   1.13106765E-01   1.68432891E+00   1.92718562E+06   8.34130478E+00   1.68436027E+00   1.89960838E+06   8.23717117E+00 
0 60 3.38311268E-09   2.61242036E-07   3.56533931E-08   3.06724708E-08   1.25101529E-08   5.28811384E-10   3.65840719E-07   9.25318050E+00   -6.67796850E-01   -3.71153578E-02   1.13583438E-01   9.17025948E+00   -7.28031039E-01   -3.91356210E-04   1.14610672E-01   1.68416452E+00   1.88517838E+06   8.18268204E+00   1.68334126E+00   1.85646550E+06   8.07425976E+00 
0 70 2.67398836E-09   2.36700686E-07   2.89575581E-08   2.75959557E-08   9.87650584E-09   4.73655559E-10   3.36508037E-07   9.13693333E+00   -6.57300055E-01   -5.34700975E-02   1.15200639E-01   9.04096127E+00   -7.02686727E-01   -1.05525404E-02   1.16372079E-01   1.68267727E+00   1.84137662E+06   8.01728344E+00   1.68078673E+00   1.81000612E+06   7.89882565E+00 
0 80 2.26825492E-09   2.18700620E-07   2.55518167E-08   2.47224765E-08   8.21460411E-09   4.27345936E-10   3.10197976E-07   9.03588963E+00   -6.38926625E-01   -7.94762820E-02   1.16689771E-01   8.93453121E+00   -6.70043707E-01   -3.41405049E-02   1.17935836E-01   1.68014443E+00   1.80135900E+06   7.86617327E+00   1.67705715E+00   1.76682225E+06   7.73575974E+00 
0 90 2.30960029E-09   2.02835977E-07   2.45672567E-08   2.04254924E-08   8.07425327E-09   3.88705401E-10   2.86270478E-07   8.96393013E+00   -6.18568122E-01   -1.00610189E-01   1.17838606E-01   8.86580276E+00   -6.36933446E-01   -5.87185547E-02   1.19059332E-01   1.67725885E+00   1.76882375E+06   7.74331760E+00   1.67779374E+00   1.71685362E+06   7.60335255E+00 
0 100 2.13571139E-09   1.88529484E-07   2.49589700E-08   1.71351484E-08   7.37592076E-09   3.56988605E-10   2.64581104E-07   8.92096901E+00   -6.01986825E-01   -1.12635449E-01   1.18627325E-01   8.83425331E+00   -6.08016908E-01   -7.64002427E-02   1.19706407E-01   1.67642498E+00   1.73866425E+06   7.65099859E+00   1.68010402E+00   1.67286775E+06   7.50726366E+00 
0 110 1.74914638E-09   1.75601244E-07   2.50223540E-08   1.56713575E-08   6.12236040E-09   3.30795558E-10   2.44556901E-07   8.89946842E+00   -5.90460896E-01   -1.20732382E-01   1.19137302E-01   8.82807732E+00   -5.85531354E-01   -8.73312578E-02   1.20012313E-01   1.67828047E+00   1.70847112E+06   7.58504057E+00   1.68136144E+00   1.64212600E+06   7.44010687E+00 
0 120 1.52300250E-09   1.63696384E-07   2.34910829E-08   1.47265222E-08   5.50920287E-09   3.08947590E-10   2.25833787E-07   8.89193249E+00   -5.81265092E-01   -1.32119626E-01   1.19458497E-01   8.83353901E+00   -5.68418086E-01   -9.84555557E-02   1.20152555E-01   1.67945671E+00   1.68641300E+06   7.53685379E+00   1.68207669E+00   1.62026362E+06   7.39234781E+00 
0 130 1.40975698E-09   1.52711152E-07   2.09515196E-08   1.40067486E-08   5.22281862E-09   2.90988900E-10   2.08497653E-07   8.89231777E+00   -5.70615172E-01   -1.48532867E-01   1.19671792E-01   8.84211445E+00   -5.54432034E-01   -1.13602512E-01   1.20241001E-01   1.68025327E+00   1.66956425E+06   7.50004673E+00   1.68252337E+00   1.60354375E+06   7.35582209E+00 
