RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 6.33284145E-08   3.78807408E-06   5.10647226E-07   5.64276604E-07   2.25664550E-07   1.64362120E-07   1.28943124E-04   9.93637085E+00   -8.12989194E-03   -1.47742853E-02   1.05758280E-01   9.95112419E+00   -8.02352373E-03   -6.47816481E-03   1.05600916E-01   9.94451141E+00   -2.22045034E-02   4.23695100E-03   1.05672315E-01   1.68639529E+00   2.15278625E+06   9.70337582E+00   1.68639064E+00   2.15309675E+06   9.70649242E+00   1.68639410E+00   2.15286750E+06   9.70419121E+00 
0 10 2.03487005E-07   3.24483585E-06   1.23827158E-06   1.03306843E-06   6.96617406E-07   1.13477583E-09   6.31915555E-07   9.56896877E+00   -7.21163303E-02   -1.46089904E-02   1.09794915E-01   9.61473465E+00   -1.06708013E-01   -6.20806729E-03   1.09266110E-01   9.58236027E+00   -1.59586012E-01   6.70345128E-03   1.09661840E-01   1.68103611E+00   2.09439112E+06   9.11713219E+00   1.68120611E+00   2.09525650E+06   9.12581921E+00   1.68105924E+00   2.09450838E+06   9.11830902E+00 
0 20 1.83538120E-07   3.04882906E-06   1.62285141E-06   1.45327067E-06   6.19642265E-07   1.38954481E-09   8.97058612E-07   9.78212547E+00   -1.71748236E-01   2.15314254E-02   1.07394472E-01   9.82544613E+00   -2.17875555E-01   7.46478210E-04   1.06929526E-01   9.78344631E+00   -2.23526984E-01   -9.89577826E-03   1.07422359E-01   1.67910337E+00   2.08537975E+06   9.02666473E+00   1.67925870E+00   2.08605588E+06   9.03345203E+00   1.67919004E+00   2.08575612E+06   9.03044319E+00 
0 30 1.52054454E-07   2.73816659E-06   1.60224647E-06   1.48107506E-06   4.99444980E-07   1.43461865E-09   9.32264129E-07   1.00044651E+01   -2.60187268E-01   4.51440327E-02   1.05040982E-01   1.00357637E+01   -2.67342210E-01   -3.25214909E-03   1.04728602E-01   9.98701191E+00   -2.77341366E-01   -3.88473123E-02   1.05250776E-01   1.67678416E+00   2.07602412E+06   8.93274212E+00   1.67682040E+00   2.07616100E+06   8.93411541E+00   1.67673922E+00   2.07585462E+06   8.93103886E+00 
0 40 1.20680809E-07   2.37616746E-06   1.44968965E-06   1.40854411E-06   3.83644931E-07   1.21730637E-09   7.72470571E-07   1.01232481E+01   -3.04724902E-01   4.91007902E-02   1.03853010E-01   1.01538372E+01   -2.91340619E-01   9.06365807E-04   1.03570156E-01   1.00943832E+01   -2.97179103E-01   -6.13640472E-02   1.04170732E-01   1.67812324E+00   2.04580412E+06   8.78921890E+00   1.67803919E+00   2.04669700E+06   8.79258919E+00   1.67824399E+00   2.04451162E+06   8.78433800E+00 
0 50 9.93935245E-08   2.21917981E-06   1.27814246E-06   1.31179343E-06   3.11477123E-07   1.05296760E-09   6.49218862E-07   1.01677380E+01   -3.08355153E-01   4.92209271E-02   1.03457883E-01   1.01972322E+01   -2.86771834E-01   9.49068833E-03   1.03195257E-01   1.01312437E+01   -2.77805924E-01   -7.11086616E-02   1.03851028E-01   1.68098021E+00   2.01078450E+06   8.65698147E+00   1.68089998E+00   2.01193438E+06   8.66132355E+00   1.68106425E+00   2.00956412E+06   8.65237331E+00 
0 60 8.76581723E-08   2.18255786E-06   1.12374755E-06   1.18695277E-06   2.77947180E-07   9.18339904E-10   5.45838191E-07   1.01675062E+01   -2.73958176E-01   5.50543927E-02   1.03531450E-01   1.02020626E+01   -2.62029886E-01   3.42706330E-02   1.03212327E-01   1.01182222E+01   -2.42816836E-01   -6.45467564E-02   1.04044750E-01   1.68274844E+00   1.98070838E+06   8.54341125E+00   1.68278062E+00   1.98003762E+06   8.54087830E+00   1.68282378E+00   1.97912812E+06   8.53744411E+00 
0 70 7.75983580E-08   2.14325178E-06   1.01337650E-06   1.05447350E-06   2.50909551E-07   8.39615433E-10   4.75092946E-07   1.01408072E+01   -2.23752752E-01   6.58238083E-02   1.03883781E-01   1.01787109E+01   -2.32921943E-01   5.95635101E-02   1.03523321E-01   1.00807266E+01   -2.01117501E-01   -5.10237888E-02   1.04499817E-01   1.68385804E+00   1.95155400E+06   8.43332195E+00   1.68390954E+00   1.94965762E+06   8.42616081E+00   1.68392527E+00   1.94906062E+06   8.42390633E+00 
0 80 6.83222368E-08   2.04573712E-06   9.24373296E-07   9.32128387E-07   2.21424386E-07   8.28412172E-10   4.45715784E-07   1.00778246E+01   -1.81671187E-01   6.68766126E-02   1.04618944E-01   1.01131420E+01   -2.04927921E-01   6.31165951E-02   1.04284532E-01   1.00210772E+01   -1.63215294E-01   -4.14154120E-02   1.05196066E-01   1.68438673E+00   1.92027675E+06   8.31521606E+00   1.68439031E+00   1.91965088E+06   8.31285381E+00   1.68440235E+00   1.91702312E+06   8.30293083E+00 
0 90 5.80172923E-08   1.93493315E-06   8.45960699E-07   8.34863499E-07   1.78991527E-07   8.46853643E-10   4.38478537E-07   9.98499107E+00   -1.54028982E-01   6.25458583E-02   1.05682038E-01   1.00222683E+01   -1.81969836E-01   5.73730618E-02   1.05331220E-01   9.94575405E+00   -1.30473077E-01   -3.41052599E-02   1.06072672E-01   1.68419516E+00   1.88688112E+06   8.18911171E+00   1.68423688E+00   1.88940288E+06   8.19863415E+00   1.68413770E+00   1.88378050E+06   8.17740345E+00 
