RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 1 3.01017344E-08   3.06128049E-06   2.87375627E-07   2.91803246E-07   1.06417438E-07   2.75638534E-08   3.59253245E-05   5.92582989E+00   -1.60850678E-02   -3.58315348E-03   1.06401451E-01   5.92250395E+00   -6.94785453E-03   -1.10813102E-03   1.06460840E-01   5.92527151E+00   -2.21076440E-02   5.63758193E-03   1.06410302E-01   1.41671228E+00   8.23061188E+05   5.75515652E+00   1.41641569E+00   8.22619438E+05   5.75407982E+00   1.41643667E+00   8.22650562E+05   5.75415611E+00 
0 10 9.37091542E-08   1.86360046E-06   1.01761282E-06   7.08611708E-07   3.24248589E-07   2.48604054E-10   3.78331492E-07   5.57990980E+00   -1.32910103E-01   -2.33854521E-02   1.12979725E-01   5.60064125E+00   -8.85143727E-02   7.05464836E-03   1.12547509E-01   5.57850361E+00   -7.53583536E-02   2.35778224E-02   1.13005064E-01   1.24105251E+00   5.66177750E+05   5.12217331E+00   1.24182141E+00   5.67020188E+05   5.12451458E+00   1.24459577E+00   5.70058250E+05   5.13295984E+00 
0 20 7.59186136E-08   1.72797684E-06   1.16279159E-06   8.91639957E-07   2.58208416E-07   4.87559770E-10   5.96677580E-07   5.96234846E+00   -1.94895640E-01   -3.56572084E-02   1.05742939E-01   5.97193861E+00   -1.28705248E-01   1.37310056E-02   1.05568066E-01   5.88117218E+00   -1.44531533E-01   -2.77917902E-03   1.07190274E-01   1.23984683E+00   5.64856312E+05   5.11849976E+00   1.24310458E+00   5.68425688E+05   5.12842178E+00   1.24353898E+00   5.68901312E+05   5.12974358E+00 
0 30 5.41495382E-08   1.44378646E-06   1.06469997E-06   7.87421811E-07   1.88003369E-07   5.47426438E-10   6.35727702E-07   6.23997259E+00   -2.33640775E-01   -7.78291672E-02   1.01151727E-01   6.17609167E+00   -1.68877542E-01   -4.19116393E-03   1.02184489E-01   6.11401272E+00   -1.98361367E-01   -3.41407955E-02   1.03209928E-01   1.21515393E+00   5.37683062E+05   5.04296589E+00   1.21592462E+00   5.38534438E+05   5.04533243E+00   1.21795237E+00   5.40773188E+05   5.05155563E+00 
0 40 4.36583250E-08   1.20546565E-06   8.51737070E-07   6.70658210E-07   1.53013232E-07   3.44912404E-10   4.37851213E-07   6.30739021E+00   -2.31258199E-01   -8.92979950E-02   1.00155786E-01   6.20705700E+00   -1.76212311E-01   -1.21503416E-03   1.01760872E-01   6.16503382E+00   -2.13944927E-01   -3.61557752E-02   1.02429315E-01   1.17199266E+00   4.89670938E+05   4.90950632E+00   1.17084503E+00   4.88385156E+05   4.90593243E+00   1.17495441E+00   4.92986969E+05   4.91872406E+00 
0 50 3.73177436E-08   1.12549390E-06   7.14956116E-07   5.83524013E-07   1.27072383E-07   2.47851906E-10   3.34803701E-07   6.27281857E+00   -2.18725115E-01   -6.90133348E-02   1.00755192E-01   6.18167830E+00   -1.37674704E-01   1.96466744E-02   1.02268808E-01   6.11776781E+00   -1.68525651E-01   -1.02108223E-02   1.03291228E-01   1.13481224E+00   4.47767969E+05   4.79302835E+00   1.13349867E+00   4.46278062E+05   4.78888655E+00   1.13785839E+00   4.51220500E+05   4.80262518E+00 
0 60 3.08646833E-08   1.09643941E-06   6.25678638E-07   5.15180091E-07   1.01590786E-07   2.18042639E-10   2.78145222E-07   6.21784782E+00   -1.83964267E-01   -5.85017987E-02   1.01723760E-01   6.12437677E+00   -1.06668375E-01   3.57550271E-02   1.03320658E-01   6.06689405E+00   -1.12912633E-01   6.94582588E-04   1.04251601E-01   1.10445642E+00   4.13169406E+05   4.69685411E+00   1.10425401E+00   4.12937500E+05   4.69620943E+00   1.10840869E+00   4.17694250E+05   4.70943213E+00 
0 70 2.57646260E-08   1.00701220E-06   5.61608431E-07   4.76045813E-07   8.17839663E-08   2.25281280E-10   2.50117097E-07   6.15529823E+00   -1.40036628E-01   -5.92623614E-02   1.02884613E-01   6.05409336E+00   -7.58136958E-02   4.07026373E-02   1.04650922E-01   6.01691484E+00   -7.41779208E-02   6.86218962E-04   1.05241708E-01   1.08092833E+00   3.86106031E+05   4.62162590E+00   1.08248937E+00   3.87908469E+05   4.62663603E+00   1.08673429E+00   3.92804750E+05   4.64024639E+00 
0 80 2.14575184E-08   9.04857586E-07   5.13507075E-07   4.46410780E-07   6.46095728E-08   2.36303643E-10   2.34305901E-07   6.07260656E+00   -1.00870885E-01   -5.29217124E-02   1.04425147E-01   5.97817802E+00   -4.45629917E-02   4.01291624E-02   1.06104463E-01   5.95980167E+00   -3.78746502E-02   4.79946192E-03   1.06375031E-01   1.06387198E+00   3.66348844E+05   4.56670666E+00   1.06719553E+00   3.70207875E+05   4.57743359E+00   1.07139850E+00   3.75081656E+05   4.59098148E+00 
0 90 1.92045633E-08   8.30590182E-07   4.72667210E-07   4.22045900E-07   5.71637599E-08   2.36140635E-10   2.17821182E-07   6.00072575E+00   -7.69972652E-02   -4.92425561E-02   1.05810888E-01   5.91288662E+00   -2.29265392E-02   3.49257663E-02   1.07389390E-01   5.91147041E+00   -1.23309689E-02   4.03703097E-03   1.07367888E-01   1.05481374E+00   3.55808188E+05   4.53740692E+00   1.05913579E+00   3.60841781E+05   4.55139875E+00   1.06286001E+00   3.65173000E+05   4.56343842E+00 
