,Fingerprint(G2),Fingerprint(G4),Fingerprint(G6),Ref_Wind_Speed
0,1.0,1.0,1.0,7.32766294
1,1.0,1.0,1.0,7.3696146
2,0.9254987068282061,0.7790700958811385,1.0,7.30516195
3,1.0,1.0,1.0,7.30057335
4,1.0,1.0,1.0,7.40046787
5,0.9894823059388507,0.9840660016707051,1.0,7.45098972
6,1.0,1.0,1.0,7.33319044
7,1.0,1.0,1.0,7.35395145
8,0.9703932072929758,0.9075833964746102,1.0,7.16639519
9,1.0,1.0,1.0,7.32573605
10,1.0,1.0,1.0,7.36060095
11,0.9660962331772815,0.8790310134275732,1.0,6.84889698
12,1.0,1.0,1.0,7.32431698
13,1.0,1.0,1.0,7.36216736
14,0.8596110921071612,0.6341900288015274,1.0,7.17752409
15,1.0,1.0,1.0,7.32649183
16,0.9605404988581191,0.9040880250603819,1.0,7.38386154
17,0.7540575601332851,0.3396779204737558,1.0,6.07239008
18,1.0,1.0,1.0,7.32636499
19,1.0,1.0,1.0,7.3899827
20,0.9594277812649769,0.8854882996872224,0.8357257621333523,7.22809172
21,1.0,1.0,1.0,7.32798147
22,0.9679975282020732,0.8839185971069838,1.0,6.88924026
23,1.0,1.0,1.0,7.36707449
24,1.0,1.0,1.0,7.32007408
25,0.7294616917549586,0.6754340489906571,1.0,7.16640759
26,1.0,1.0,1.0,7.36771536
27,1.0,1.0,1.0,7.32353592
28,1.0,1.0,1.0,7.35471201
29,0.9885187974629871,0.9741206239610839,1.0,7.17393637
30,1.0,1.0,1.0,7.32433033
31,0.9573042236601088,0.8883321091625693,0.753716504670087,7.25673532
32,1.0,1.0,1.0,7.35991526
33,1.0,1.0,1.0,7.32551193
34,1.0,1.0,1.0,7.42234612
35,1.0,1.0,1.0,7.33626223
36,1.0,1.0,1.0,7.32048368
37,0.9909170197849807,0.9799503689778853,1.0,7.41080999
38,1.0,1.0,1.0,7.33716297
39,1.0,1.0,1.0,7.27778149
40,1.0,1.0,1.0,7.4267149
41,0.3575263266246008,0.1831238932755267,1.0,4.90979958
42,1.0,1.0,1.0,7.32543612
43,1.0,1.0,1.0,7.37801313
44,0.8555989864528619,0.8447960990703762,1.0,7.30752182
45,1.0,1.0,1.0,7.33737803
46,0.9791094497335907,0.9326896212657759,1.0,6.96568537
47,1.0,1.0,1.0,7.38414717
48,1.0,1.0,1.0,7.32603407
49,0.9505007953211004,0.8539163611086169,1.0,7.35407686
50,1.0,1.0,1.0,7.34822035
51,1.0,1.0,1.0,7.33695078
52,0.9555392363904406,0.8377954979216066,0.9779356612542899,6.7866025
53,1.0,1.0,1.0,7.34048939
54,1.0,1.0,1.0,7.32867622
55,1.0,1.0,1.0,7.33867645
56,0.3825867572427178,0.36518642211614133,0.7207767030972005,5.8302927
57,1.0,1.0,1.0,7.32939434
58,0.8822624114814587,0.7250804164631393,1.0,7.35614252
59,0.744083113473913,0.44443540992754815,0.6405496255075689,6.56862497
60,1.0,1.0,1.0,7.32935476
61,0.954200942354311,0.850006484835975,0.9992354766092333,7.13994455
62,0.9004216845368416,0.6433280038837073,1.0,6.47386646
63,1.0,1.0,1.0,7.31291246
64,1.0,1.0,1.0,7.41792536
65,1.0,1.0,1.0,7.37258196
66,1.0,1.0,1.0,7.32871819
67,0.8433519237658247,0.5749239473169525,1.0,6.8349719
68,0.9739213156547255,0.9364365574934636,1.0,7.37997532
69,1.0,1.0,1.0,7.30681944
70,0.9256684428345349,0.7750736726752452,0.6237955885986293,7.02209044
71,1.0,1.0,1.0,7.40123367
72,1.0,1.0,1.0,7.32696629
73,1.0,1.0,1.0,7.36104774
74,0.8061048955852161,0.8639531960709643,1.0,7.22434473
75,1.0,1.0,1.0,7.31979752
